devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-23T12:27:38.914,8503.0,0089PS06CT12017-07-23T12:27:36821,7691.0,2017-07-23T12:27:36.876,24.25,inch,225.0,ms,21.81,inch,FC300008,23.8,inch,14.4,11.0,-9.0,degree/10,37699.0,inch3/10,0.0,inch3/10,2764.0,mm/sec,537.01,ft/min,12.1,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:39.317,9583.0,0089PS06CT12017-07-23T12:27:37822,7692.0,2017-07-23T12:27:37.264,21.81,inch,203.0,ms,18.77,inch,FC300008,18.4,inch,24.8,9.4,-820.0,degree/10,42894.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,537.01,ft/min,19.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:39.691,10573.0,0089PS06CT12017-07-23T12:27:37823,7693.0,2017-07-23T12:27:37.654,20.59,inch,191.0,ms,19.37,inch,FC300008,18.4,inch,24.8,9.2,-865.0,degree/10,41981.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,19.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:40.148,11803.0,0089PS06CT12017-07-23T12:27:38824,7694.0,2017-07-23T12:27:38.089,22.4,inch,208.0,ms,27.87,inch,FC300008,21.2,inch,14.4,5.2,-31.0,degree/10,15875.0,inch3/10,0.0,inch3/10,2804.0,mm/sec,537.01,ft/min,5.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:40.934,13888.0,0089PS06CT12017-07-23T12:27:38825,7695.0,2017-07-23T12:27:38.869,24.84,inch,229.0,ms,59.4,inch,FC300008,24.6,inch,18.8,9.0,-11.0,degree/10,41623.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,537.01,ft/min,19.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:41.448,15268.0,0089PS06CT12017-07-23T12:27:39826,7696.0,2017-07-23T12:27:39.391,24.84,inch,230.0,ms,31.53,inch,FC300008,24.2,inch,12.6,12.4,-15.0,degree/10,37810.0,inch3/10,0.0,inch3/10,2778.0,mm/sec,537.01,ft/min,37.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:43.428,20563.0,0089PS06CT12017-07-23T12:27:41827,7697.0,2017-07-23T12:27:41.380,44.25,inch,410.0,ms,170.39,inch,FC300008,43.4,inch,23.6,12.4,-7.0,degree/10,127006.0,inch3/10,0.0,inch3/10,2764.0,mm/sec,541.93,ft/min,74.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:43.971,22018.0,0089PS06CT12017-07-23T12:27:41828,7698.0,2017-07-23T12:27:41.902,13.3,inch,123.0,ms,43.03,inch,FC300008,12.8,inch,15.0,2.4,887.0,degree/10,4608.0,inch3/10,0.0,inch3/10,2807.0,mm/sec,541.93,ft/min,1.3,LB,0,0,0,0,1,0,0,0,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:44.289,22873.0,0089PS06CT12017-07-23T12:27:42829,7699.0,2017-07-23T12:27:42.254,18.18,inch,168.0,ms,20.0,inch,FC300008,17.8,inch,11.6,8.2,-21.0,degree/10,16931.0,inch3/10,0.0,inch3/10,2812.0,mm/sec,541.93,ft/min,30.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:44.636,23788.0,0089PS06CT12017-07-23T12:27:42830,7700.0,2017-07-23T12:27:42.596,16.96,inch,157.0,ms,20.0,inch,FC300008,16.6,inch,13.6,11.0,-32.0,degree/10,24834.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,536.42,ft/min,26.5,LB,0,1,0,0,1,0,0,0,1,0,0
